strain1,strain2,strain3,GCF_000164965.1_ASM16496v1_genomic,GCF_000299595.1_ASM29959v1_genomic,GCF_001020245.1_Bbif04v4_genomic,GCF_001020255.1_Bbif02v4_genomic,GCF_001020335.1_Bbif08v4_genomic,GCF_001020355.1_Bbif01v4_genomic,GCF_001595435.1_ASM159543v1_genomic,GCF_003390735.1_ASM339073v1_genomic,GCF_003436575.1_ASM343657v1_genomic,GCF_003437945.1_ASM343794v1_genomic,GCF_003470585.1_ASM347058v1_genomic,GCF_003573895.1_ASM357389v1_genomic,GCF_005844365.1_ASM584436v1_genomic,GCF_009075765.1_ASM907576v1_genomic,GCF_009159095.1_ASM915909v1_genomic,GCF_900112465.1_IMG.taxon_2654588208_annotated_assembly_genomic,GCF_900445665.1_55147_E01_genomic,GCF_901212485.1_NZ_Bifidobacterium_bifidum_MC1_genomic
g000071,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000072,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g000073,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g000074,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0
g000075,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
g000076,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000077,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000078,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
g000079,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000080,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g000081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000082,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000083,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
g000084,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000085,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
g000086,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
g000087,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
g000088,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g000089,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g000090,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g000091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g000092,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000093,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0
g000094,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1
g000095,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
g000096,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000097,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000098,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g000099,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
g000100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000102,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
g000103,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g000104,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000105,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
g000106,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
g000107,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000108,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000109,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000110,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
g000111,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
g000112,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0
g000113,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1
g000114,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000115,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000116,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0
g000117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000118,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
g000119,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0
g000120,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000121,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000122,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
g000123,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
g000124,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000125,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000126,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
g000127,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
g000129,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
g000130,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g000132,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
g000133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g000134,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0
g000135,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g000136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000137,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000138,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1
g000139,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
g000140,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
g000142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
g000143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
g000144,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000146,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000147,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
g000148,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000149,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000150,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0
g000151,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000152,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
g000153,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000154,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000155,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
g000156,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
g000157,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
g000158,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g000159,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0
g000160,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000161,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000162,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
g000163,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
g000164,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000165,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0
g000166,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000167,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000168,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
g000169,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0
g000170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000171,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000172,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
g000173,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
g000174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000175,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000177,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000182,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0
g000183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000188,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000189,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000192,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
g000193,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
g000194,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0
g000196,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0
g000197,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000199,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000200,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
g000201,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000202,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1
g000207,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g000208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
g000209,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
g000210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000212,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
g000213,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000214,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000216,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
g000217,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g000218,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000219,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000220,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000221,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000222,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000223,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000238,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0
g000239,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000240,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000241,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0
g000242,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
g000243,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
g000244,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000245,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g000246,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
g000247,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g000248,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000249,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000250,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
g000251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000252,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000253,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g000254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g000255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000256,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000257,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000258,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000259,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000260,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000261,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000262,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000263,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000264,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000266,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
g000267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000268,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0
g000269,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000270,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g000271,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000272,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1
g000273,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
g000274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000275,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g000276,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1
g000277,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000278,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000279,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000280,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g000281,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
g000282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g000284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000289,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g000292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g000293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
g000295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g000296,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
g000299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
g000300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000301,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
g000302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000303,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0
g000304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
